기준일,상품,잔액_억원,전일대비_억원,신규건수,신규금액_억원,재예치금액_억원,중도해지금액_억원,만기도래금액_억원
2026-07-01,입출금통장,213829.1,-170.9,,,,,
2026-07-01,모임통장,37952.9,-547.1,,,,,
2026-07-01,세이프박스,121078.3,78.3,,,,,
2026-07-01,저금통,1421.7,1.7,,,,,
2026-07-01,정기예금,182281.6,281.6,47355,558.8,258.9,118.3,417.8
2026-07-01,자유적금,24620.0,20.0,20619,43.3,24.4,10.4,37.3
2026-07-01,26주적금,7906.0,6.0,18777,16.9,8.5,6.3,13.1
2026-07-02,입출금통장,212973.5,-855.6,,,,,
2026-07-02,모임통장,37870.4,-82.5,,,,,
2026-07-02,세이프박스,120987.0,-91.3,,,,,
2026-07-02,저금통,1425.4,3.7,,,,,
2026-07-02,정기예금,182463.3,181.7,39822,469.9,281.3,136.8,432.7
2026-07-02,자유적금,24632.5,12.5,18714,39.3,19.0,14.2,31.6
2026-07-02,26주적금,7914.7,8.7,22222,20.0,8.8,5.7,14.4
2026-07-03,입출금통장,212900.5,-73.0,,,,,
2026-07-03,모임통장,37571.8,-298.6,,,,,
2026-07-03,세이프박스,120926.8,-60.2,,,,,
2026-07-03,저금통,1427.3,1.9,,,,,
2026-07-03,정기예금,182775.3,312.0,42449,500.9,160.5,110.9,238.5
2026-07-03,자유적금,24652.2,19.7,21285,44.7,23.4,12.6,35.8
2026-07-03,26주적금,7919.9,5.2,17000,15.3,8.6,4.9,13.8
2026-07-06,입출금통장,213743.9,843.4,,,,,
2026-07-06,모임통장,37362.3,-209.5,,,,,
2026-07-06,세이프박스,121952.6,1025.8,,,,,
2026-07-06,저금통,1435.7,8.4,,,,,
2026-07-06,정기예금,182833.6,58.3,34779,410.4,331.0,199.8,483.3
2026-07-06,자유적금,24679.5,27.3,27619,58.0,23.4,15.3,38.8
2026-07-06,26주적금,7921.9,2.0,14888,13.4,10.7,4.7,17.4
2026-07-07,입출금통장,211945.0,-1798.9,,,,,
2026-07-07,모임통장,37294.6,-67.7,,,,,
2026-07-07,세이프박스,121541.8,-410.8,,,,,
2026-07-07,저금통,1444.3,8.6,,,,,
2026-07-07,정기예금,182903.9,70.3,33813,399.0,311.4,149.7,490.4
2026-07-07,자유적금,24697.7,18.2,20952,44.0,30.5,12.0,44.3
2026-07-07,26주적금,7925.5,3.6,17666,15.9,7.9,7.2,13.0
2026-07-08,입출금통장,211680.3,-264.7,,,,,
2026-07-08,모임통장,37527.3,232.7,,,,,
2026-07-08,세이프박스,121349.3,-192.5,,,,,
2026-07-08,저금통,1434.5,-9.8,,,,,
2026-07-08,정기예금,182987.3,83.4,33855,399.5,249.1,167.3,397.9
2026-07-08,자유적금,24706.9,9.2,16666,35.0,26.0,14.0,37.8
2026-07-08,26주적금,7930.3,4.8,17000,15.3,9.8,6.2,14.1
2026-07-09,입출금통장,212239.9,559.6,,,,,
2026-07-09,모임통장,37312.9,-214.4,,,,,
2026-07-09,세이프박스,121487.4,138.1,,,,,
2026-07-09,저금통,1432.3,-2.2,,,,,
2026-07-09,정기예금,183282.5,295.2,55457,654.4,296.8,175.6,480.4
2026-07-09,자유적금,24706.7,-0.2,13047,27.4,20.1,14.4,33.3
2026-07-09,26주적금,7943.7,13.4,26888,24.2,10.8,5.9,15.7
2026-07-10,입출금통장,212843.4,603.5,,,,,
2026-07-10,모임통장,37217.6,-95.3,,,,,
2026-07-10,세이프박스,121182.9,-304.5,,,,,
2026-07-10,저금통,1452.5,20.2,,,,,
2026-07-10,정기예금,183528.6,246.1,42847,505.6,257.9,143.7,373.7
2026-07-10,자유적금,24703.1,-3.6,13857,29.1,34.9,15.4,52.2
2026-07-10,26주적금,7950.8,7.1,17222,15.5,7.8,4.3,11.9
2026-07-13,입출금통장,211874.0,-969.4,,,,,
2026-07-13,모임통장,37039.0,-178.6,,,,,
