수집일,은행,상품유형,상품명,기간_개월,기본금리,최고우대금리,출처
2026-09-01,카카오뱅크,정기예금,카카오뱅크 정기예금,6,3.40,3.40,금융감독원 금융상품통합비교공시
2026-09-01,케이뱅크,정기예금,코드K 정기예금,6,3.40,3.40,금융감독원 금융상품통합비교공시
2026-09-01,토스뱅크,정기예금,토스뱅크 먼저 이자 받는 정기예금,6,3.30,3.30,금융감독원 금융상품통합비교공시
2026-09-01,NH농협은행,정기예금,NH올원e예금,6,3.25,3.25,금융감독원 금융상품통합비교공시
2026-09-01,우리은행,정기예금,WON플러스예금,6,3.20,3.20,금융감독원 금융상품통합비교공시
2026-09-01,신한은행,정기예금,쏠편한 정기예금,6,2.50,3.15,금융감독원 금융상품통합비교공시
2026-09-01,KB국민은행,정기예금,KB Star 정기예금,6,2.35,3.15,금융감독원 금융상품통합비교공시
2026-09-01,하나은행,정기예금,하나의정기예금,6,2.25,3.20,금융감독원 금융상품통합비교공시
2026-09-01,케이뱅크,정기예금,코드K 정기예금,12,3.51,3.51,금융감독원 금융상품통합비교공시
2026-09-01,카카오뱅크,정기예금,카카오뱅크 정기예금,12,3.60,3.60,금융감독원 금융상품통합비교공시
2026-09-01,토스뱅크,정기예금,토스뱅크 먼저 이자 받는 정기예금,12,3.45,3.45,금융감독원 금융상품통합비교공시
2026-09-01,NH농협은행,정기예금,NH올원e예금,12,3.45,3.45,금융감독원 금융상품통합비교공시
2026-09-01,우리은행,정기예금,WON플러스예금,12,3.40,3.40,금융감독원 금융상품통합비교공시
2026-09-01,신한은행,정기예금,쏠편한 정기예금,12,2.55,3.40,금융감독원 금융상품통합비교공시
2026-09-01,KB국민은행,정기예금,KB Star 정기예금,12,2.40,3.40,금융감독원 금융상품통합비교공시
2026-09-01,하나은행,정기예금,하나의정기예금,12,2.30,3.30,금융감독원 금융상품통합비교공시
2026-09-01,케이뱅크,정기예금,코드K 정기예금,24,3.10,3.10,금융감독원 금융상품통합비교공시
2026-09-01,NH농협은행,정기예금,NH올원e예금,24,3.00,3.00,금융감독원 금융상품통합비교공시
2026-09-01,우리은행,정기예금,WON플러스예금,24,3.00,3.00,금융감독원 금융상품통합비교공시
2026-09-01,카카오뱅크,정기예금,카카오뱅크 정기예금,24,3.00,3.00,금융감독원 금융상품통합비교공시
2026-09-01,신한은행,정기예금,쏠편한 정기예금,24,2.60,3.00,금융감독원 금융상품통합비교공시
2026-09-01,KB국민은행,정기예금,KB Star 정기예금,24,2.40,3.00,금융감독원 금융상품통합비교공시
2026-09-01,하나은행,정기예금,하나의정기예금,24,2.30,2.70,금융감독원 금융상품통합비교공시
2026-09-01,신한은행,적금(자유적립),신한 알.쏠 적금,12,2.90,4.20,금융감독원 금융상품통합비교공시
2026-09-01,하나은행,적금(자유적립),주거래하나 월복리적금,12,2.95,3.95,금융감독원 금융상품통합비교공시
2026-09-01,카카오뱅크,적금(자유적립),카카오뱅크 자유적금,12,3.65,3.85,금융감독원 금융상품통합비교공시
2026-09-01,케이뱅크,적금(자유적립),코드K 자유적금,12,3.70,3.70,금융감독원 금융상품통합비교공시
2026-09-01,NH농협은행,적금(자유적립),NH내가Green초록세상적금,12,2.55,3.55,금융감독원 금융상품통합비교공시
2026-09-01,KB국민은행,적금(자유적립),KB맑은하늘적금,12,2.65,3.45,금융감독원 금융상품통합비교공시
2026-09-01,우리은행,적금(자유적립),WON적금,12,3.20,3.40,금융감독원 금융상품통합비교공시
2026-09-01,토스뱅크,적금(자유적립),토스뱅크 자유 적금,12,2.50,3.00,금융감독원 금융상품통합비교공시
2026-09-02,카카오뱅크,정기예금,카카오뱅크 정기예금,6,3.40,3.40,금융감독원 금융상품통합비교공시
2026-09-02,케이뱅크,정기예금,코드K 정기예금,6,3.40,3.40,금융감독원 금융상품통합비교공시
2026-09-02,토스뱅크,정기예금,토스뱅크 먼저 이자 받는 정기예금,6,3.30,3.30,금융감독원 금융상품통합비교공시
2026-09-02,NH농협은행,정기예금,NH올원e예금,6,3.25,3.25,금융감독원 금융상품통합비교공시
2026-09-02,우리은행,정기예금,WON플러스예금,6,3.20,3.20,금융감독원 금융상품통합비교공시
2026-09-02,신한은행,정기예금,쏠편한 정기예금,6,2.50,3.15,금융감독원 금융상품통합비교공시
2026-09-02,KB국민은행,정기예금,KB Star 정기예금,6,2.35,3.15,금융감독원 금융상품통합비교공시
2026-09-02,하나은행,정기예금,하나의정기예금,6,2.25,3.20,금융감독원 금융상품통합비교공시
2026-09-02,케이뱅크,정기예금,코드K 정기예금,12,3.51,3.51,금융감독원 금융상품통합비교공시
2026-09-02,카카오뱅크,정기예금,카카오뱅크 정기예금,12,3.60,3.60,금융감독원 금융상품통합비교공시
2026-09-02,토스뱅크,정기예금,토스뱅크 먼저 이자 받는 정기예금,12,3.45,3.45,금융감독원 금융상품통합비교공시
2026-09-02,NH농협은행,정기예금,NH올원e예금,12,3.45,3.45,금융감독원 금융상품통합비교공시
2026-09-02,우리은행,정기예금,WON플러스예금,12,3.40,3.40,금융감독원 금융상품통합비교공시
2026-09-02,신한은행,정기예금,쏠편한 정기예금,12,2.55,3.40,금융감독원 금융상품통합비교공시
2026-09-02,KB국민은행,정기예금,KB Star 정기예금,12,2.40,3.40,금융감독원 금융상품통합비교공시
2026-09-02,하나은행,정기예금,하나의정기예금,12,2.30,3.30,금융감독원 금융상품통합비교공시
2026-09-02,케이뱅크,정기예금,코드K 정기예금,24,3.10,3.10,금융감독원 금융상품통합비교공시
2026-09-02,NH농협은행,정기예금,NH올원e예금,24,3.00,3.00,금융감독원 금융상품통합비교공시
2026-09-02,우리은행,정기예금,WON플러스예금,24,3.00,3.00,금융감독원 금융상품통합비교공시
2026-09-02,카카오뱅크,정기예금,카카오뱅크 정기예금,24,3.00,3.00,금융감독원 금융상품통합비교공시
2026-09-02,신한은행,정기예금,쏠편한 정기예금,24,2.60,3.00,금융감독원 금융상품통합비교공시
2026-09-02,KB국민은행,정기예금,KB Star 정기예금,24,2.40,3.00,금융감독원 금융상품통합비교공시
2026-09-02,하나은행,정기예금,하나의정기예금,24,2.30,2.70,금융감독원 금융상품통합비교공시
2026-09-02,신한은행,적금(자유적립),신한 알.쏠 적금,12,2.90,4.20,금융감독원 금융상품통합비교공시
2026-09-02,하나은행,적금(자유적립),주거래하나 월복리적금,12,2.95,3.95,금융감독원 금융상품통합비교공시
2026-09-02,카카오뱅크,적금(자유적립),카카오뱅크 자유적금,12,3.65,3.85,금융감독원 금융상품통합비교공시
2026-09-02,케이뱅크,적금(자유적립),코드K 자유적금,12,3.70,3.70,금융감독원 금융상품통합비교공시
2026-09-02,NH농협은행,적금(자유적립),NH내가Green초록세상적금,12,2.55,3.55,금융감독원 금융상품통합비교공시
2026-09-02,KB국민은행,적금(자유적립),KB맑은하늘적금,12,2.65,3.45,금융감독원 금융상품통합비교공시
2026-09-02,우리은행,적금(자유적립),WON적금,12,3.20,3.40,금융감독원 금융상품통합비교공시
2026-09-02,토스뱅크,적금(자유적립),토스뱅크 자유 적금,12,2.50,3.00,금융감독원 금융상품통합비교공시
2026-09-03,카카오뱅크,정기예금,카카오뱅크 정기예금,6,3.40,3.40,금융감독원 금융상품통합비교공시
2026-09-03,케이뱅크,정기예금,코드K 정기예금,6,3.40,3.40,금융감독원 금융상품통합비교공시
2026-09-03,토스뱅크,정기예금,토스뱅크 먼저 이자 받는 정기예금,6,3.30,3.30,금융감독원 금융상품통합비교공시
2026-09-03,NH농협은행,정기예금,NH올원e예금,6,3.25,3.25,금융감독원 금융상품통합비교공시
2026-09-03,우리은행,정기예금,WON플러스예금,6,3.20,3.20,금융감독원 금융상품통합비교공시
2026-09-03,신한은행,정기예금,쏠편한 정기예금,6,2.50,3.15,금융감독원 금융상품통합비교공시
2026-09-03,KB국민은행,정기예금,KB Star 정기예금,6,2.35,3.15,금융감독원 금융상품통합비교공시
2026-09-03,하나은행,정기예금,하나의정기예금,6,2.25,3.20,금융감독원 금융상품통합비교공시
