사업장,상품코드,상품명,분류,판매가,인기,비고
오프더월,OTW-T01,옥수수 타르트,타르트,8500,Y,
오프더월,OTW-T02,보늬밤 타르트,타르트,8500,N,
오프더월,OTW-T03,말차 타르트,타르트,9100,N,
오프더월,OTW-T04,자몽 망고 요거트 타르트,타르트,9600,N,
오프더월,OTW-E01,강릉 옥수수 에그타르트,에그타르트,4800,Y,
오프더월,OTW-E02,강릉 감자&잠봉 에그타르트,에그타르트,5200,Y,
오프더월,OTW-E03,흑임자&산딸기 에그타르트,에그타르트,5500,N,
오프더월,OTW-E04,피스타치오 에그타르트,에그타르트,5800,N,
오프더월,OTW-D01,옥수수 밀크티,음료,6500,Y,
오프더월,OTW-P01,아이스크림 파르페,디저트,8500,N,
오프더월,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,6500,N,1층·2층 협업 상품
풀노리,PN-101,sol diffuser,리빙·프래그런스,46000,,pulnori.com 확인 상품
풀노리,PN-102,sol room-spray,리빙·프래그런스,28500,,pulnori.com 확인 상품
풀노리,PN-103,Fog cup blue S,글라스웨어,28000,,pulnori.com 확인 상품
풀노리,PN-104,sol candle,리빙·프래그런스,23000,,pulnori.com 확인 상품
풀노리,PN-105,pattern on-the-rocks glass,글라스웨어,18500,,pulnori.com 확인 상품
풀노리,PN-106,Lily bubble glass cup,글라스웨어,18500,,pulnori.com 확인 상품
풀노리,PN-107,pattern mini glass,글라스웨어,15000,,pulnori.com 확인 상품
풀노리,PN-108,Bubble mini glass,글라스웨어,15000,,pulnori.com 확인 상품
