주문번호,일자,요일,시각,주문유형,상품코드,상품명,분류,수량,단가,금액
OTW-260801-001,2026-08-01,토,12:15,포장,OTW-T03,말차 타르트,타르트,1,9100,9100
OTW-260801-001,2026-08-01,토,12:15,포장,OTW-E04,피스타치오 에그타르트,에그타르트,1,5800,5800
OTW-260801-002,2026-08-01,토,12:19,포장,OTW-E01,강릉 옥수수 에그타르트,에그타르트,1,4800,4800
OTW-260801-003,2026-08-01,토,12:19,매장,OTW-D01,옥수수 밀크티,음료,1,6500,6500
OTW-260801-004,2026-08-01,토,12:22,매장,OTW-T01,옥수수 타르트,타르트,1,8500,8500
OTW-260801-004,2026-08-01,토,12:22,매장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260801-005,2026-08-01,토,12:22,포장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260801-005,2026-08-01,토,12:22,포장,OTW-T03,말차 타르트,타르트,1,9100,9100
OTW-260801-005,2026-08-01,토,12:22,포장,OTW-T04,자몽 망고 요거트 타르트,타르트,1,9600,9600
OTW-260801-006,2026-08-01,토,12:27,매장,OTW-P01,아이스크림 파르페,디저트,1,8500,8500
OTW-260801-006,2026-08-01,토,12:27,매장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260801-007,2026-08-01,토,12:28,매장,OTW-T01,옥수수 타르트,타르트,2,8500,17000
OTW-260801-007,2026-08-01,토,12:28,매장,OTW-E03,흑임자&산딸기 에그타르트,에그타르트,1,5500,5500
OTW-260801-008,2026-08-01,토,12:32,포장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260801-008,2026-08-01,토,12:32,포장,OTW-T02,보늬밤 타르트,타르트,1,8500,8500
OTW-260801-009,2026-08-01,토,12:32,포장,OTW-T01,옥수수 타르트,타르트,1,8500,8500
OTW-260801-009,2026-08-01,토,12:32,포장,OTW-E01,강릉 옥수수 에그타르트,에그타르트,1,4800,4800
OTW-260801-010,2026-08-01,토,12:33,포장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260801-011,2026-08-01,토,12:34,포장,OTW-T02,보늬밤 타르트,타르트,1,8500,8500
OTW-260801-011,2026-08-01,토,12:34,포장,OTW-E01,강릉 옥수수 에그타르트,에그타르트,2,4800,9600
OTW-260801-012,2026-08-01,토,12:35,포장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260801-013,2026-08-01,토,12:38,포장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260801-013,2026-08-01,토,12:38,포장,OTW-P01,아이스크림 파르페,디저트,1,8500,8500
OTW-260801-013,2026-08-01,토,12:38,포장,OTW-E03,흑임자&산딸기 에그타르트,에그타르트,1,5500,5500
OTW-260801-014,2026-08-01,토,12:39,매장,OTW-T01,옥수수 타르트,타르트,1,8500,8500
OTW-260801-015,2026-08-01,토,12:40,포장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260801-015,2026-08-01,토,12:40,포장,OTW-E01,강릉 옥수수 에그타르트,에그타르트,1,4800,4800
OTW-260801-016,2026-08-01,토,12:41,포장,OTW-D01,옥수수 밀크티,음료,1,6500,6500
OTW-260801-016,2026-08-01,토,12:41,포장,OTW-T04,자몽 망고 요거트 타르트,타르트,1,9600,9600
OTW-260801-017,2026-08-01,토,12:44,포장,OTW-P01,아이스크림 파르페,디저트,1,8500,8500
OTW-260801-017,2026-08-01,토,12:44,포장,OTW-T01,옥수수 타르트,타르트,1,8500,8500
OTW-260801-017,2026-08-01,토,12:44,포장,OTW-D01,옥수수 밀크티,음료,2,6500,13000
OTW-260801-018,2026-08-01,토,12:46,포장,OTW-P01,아이스크림 파르페,디저트,2,8500,17000
OTW-260801-018,2026-08-01,토,12:46,포장,OTW-T01,옥수수 타르트,타르트,2,8500,17000
OTW-260801-018,2026-08-01,토,12:46,포장,OTW-E02,강릉 감자&잠봉 에그타르트,에그타르트,1,5200,5200
OTW-260801-019,2026-08-01,토,12:52,매장,OTW-T03,말차 타르트,타르트,1,9100,9100
OTW-260801-019,2026-08-01,토,12:52,매장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260801-020,2026-08-01,토,12:54,매장,OTW-P01,아이스크림 파르페,디저트,1,8500,8500
OTW-260801-021,2026-08-01,토,12:54,매장,OTW-T02,보늬밤 타르트,타르트,1,8500,8500
OTW-260801-021,2026-08-01,토,12:54,매장,OTW-D01,옥수수 밀크티,음료,1,6500,6500
OTW-260801-022,2026-08-01,토,12:54,매장,OTW-D01,옥수수 밀크티,음료,1,6500,6500
OTW-260801-023,2026-08-01,토,12:55,매장,OTW-T04,자몽 망고 요거트 타르트,타르트,1,9600,9600
OTW-260801-023,2026-08-01,토,12:55,매장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260801-024,2026-08-01,토,13:00,매장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260801-025,2026-08-01,토,13:01,포장,OTW-D01,옥수수 밀크티,음료,1,6500,6500
OTW-260801-025,2026-08-01,토,13:01,포장,OTW-E01,강릉 옥수수 에그타르트,에그타르트,2,4800,9600
OTW-260801-026,2026-08-01,토,13:05,매장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260801-026,2026-08-01,토,13:05,매장,OTW-D01,옥수수 밀크티,음료,1,6500,6500
