일자,요일,영업여부,오픈시각,마감시각,조기마감,소진메뉴,날씨,비고
2026-08-01,토,영업,12:00,15:30,Y,"강릉 옥수수 에그타르트, 강릉 감자&잠봉 에그타르트",맑음,소진 조기마감
2026-08-02,일,영업,12:00,15:30,Y,"옥수수 밀크티, 강릉 감자&잠봉 에그타르트",소나기,소진 조기마감
2026-08-03,월,영업,12:00,17:30,N,,맑음,
2026-08-04,화,휴무,,,,,,정기휴무
2026-08-05,수,휴무,,,,,,정기휴무
2026-08-06,목,영업,12:00,16:00,Y,"강릉 옥수수 에그타르트, 옥수수 타르트",폭염,소진 조기마감
2026-08-07,금,영업,12:00,17:30,N,,폭염,
2026-08-08,토,영업,12:00,17:00,Y,옥수수 밀크티,소나기,소진 조기마감
2026-08-09,일,영업,12:00,17:00,Y,"강릉 감자&잠봉 에그타르트, 옥수수 밀크티",맑음,소진 조기마감
2026-08-10,월,영업,12:00,17:30,N,,폭염,
2026-08-11,화,휴무,,,,,,정기휴무
2026-08-12,수,휴무,,,,,,정기휴무
2026-08-13,목,영업,12:00,16:00,Y,"강릉 옥수수 에그타르트, 옥수수 타르트",폭염,소진 조기마감
2026-08-14,금,영업,12:00,17:30,N,,맑음,
2026-08-15,토,영업,12:00,17:30,N,,흐림,
2026-08-16,일,영업,12:00,16:00,Y,"강릉 감자&잠봉 에그타르트, 강릉 옥수수 에그타르트, 옥수수 밀크티",맑음,소진 조기마감
2026-08-17,월,영업,12:00,17:30,N,,맑음,
2026-08-18,화,휴무,,,,,,정기휴무
2026-08-19,수,휴무,,,,,,정기휴무
2026-08-20,목,영업,12:00,16:20,Y,"강릉 감자&잠봉 에그타르트, 강릉 옥수수 에그타르트",폭염,소진 조기마감
2026-08-21,금,영업,12:00,17:30,N,,폭염,
2026-08-22,토,영업,12:00,17:00,Y,강릉 감자&잠봉 에그타르트,폭염,소진 조기마감
2026-08-23,일,영업,12:00,17:30,N,,맑음,
2026-08-24,월,영업,12:00,17:30,N,,소나기,
2026-08-25,화,휴무,,,,,,정기휴무
2026-08-26,수,휴무,,,,,,정기휴무
2026-08-27,목,영업,12:00,17:30,N,,흐림,
2026-08-28,금,영업,12:00,15:30,Y,옥수수 밀크티,맑음,소진 조기마감
2026-08-29,토,영업,12:00,15:30,Y,옥수수 타르트,맑음,소진 조기마감
2026-08-30,일,영업,12:00,16:45,Y,"옥수수 밀크티, 옥수수 타르트",폭염,소진 조기마감
2026-08-31,월,영업,12:00,17:30,N,,폭염,
