주문번호,일자,요일,시각,상품코드,상품명,카테고리,수량,단가,금액
PN-260801-001,2026-08-01,토,13:11,PN-104,sol candle,리빙·프래그런스,1,23000,23000
PN-260801-002,2026-08-01,토,16:55,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260801-003,2026-08-01,토,17:04,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260801-004,2026-08-01,토,14:05,PN-104,sol candle,리빙·프래그런스,2,23000,46000
PN-260801-004,2026-08-01,토,14:05,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260801-005,2026-08-01,토,17:17,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260801-005,2026-08-01,토,17:17,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260801-006,2026-08-01,토,16:43,PN-103,Fog cup blue S,글라스웨어,1,28000,28000
PN-260801-007,2026-08-01,토,12:44,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260801-008,2026-08-01,토,18:27,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260801-008,2026-08-01,토,18:27,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260801-009,2026-08-01,토,13:13,PN-107,pattern mini glass,글라스웨어,2,15000,30000
PN-260801-009,2026-08-01,토,13:13,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260801-010,2026-08-01,토,16:11,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260801-011,2026-08-01,토,15:35,PN-102,sol room-spray,리빙·프래그런스,1,28500,28500
PN-260801-011,2026-08-01,토,15:35,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260801-012,2026-08-01,토,15:05,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260801-013,2026-08-01,토,14:51,PN-102,sol room-spray,리빙·프래그런스,1,28500,28500
PN-260801-013,2026-08-01,토,14:51,PN-108,Bubble mini glass,글라스웨어,1,15000,15000
PN-260801-014,2026-08-01,토,14:17,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260801-014,2026-08-01,토,14:17,PN-103,Fog cup blue S,글라스웨어,1,28000,28000
PN-260801-015,2026-08-01,토,16:53,PN-108,Bubble mini glass,글라스웨어,1,15000,15000
PN-260801-015,2026-08-01,토,16:53,PN-104,sol candle,리빙·프래그런스,1,23000,23000
PN-260801-016,2026-08-01,토,14:13,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260801-016,2026-08-01,토,14:13,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260801-017,2026-08-01,토,17:26,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260801-018,2026-08-01,토,17:10,PN-108,Bubble mini glass,글라스웨어,1,15000,15000
PN-260801-018,2026-08-01,토,17:10,PN-103,Fog cup blue S,글라스웨어,1,28000,28000
PN-260801-019,2026-08-01,토,13:48,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260801-019,2026-08-01,토,13:48,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260801-020,2026-08-01,토,16:31,PN-108,Bubble mini glass,글라스웨어,1,15000,15000
PN-260801-021,2026-08-01,토,15:16,PN-104,sol candle,리빙·프래그런스,1,23000,23000
PN-260801-022,2026-08-01,토,15:09,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260801-023,2026-08-01,토,13:36,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260801-023,2026-08-01,토,13:36,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260801-024,2026-08-01,토,16:42,PN-103,Fog cup blue S,글라스웨어,1,28000,28000
PN-260801-025,2026-08-01,토,12:44,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260801-026,2026-08-01,토,16:15,PN-102,sol room-spray,리빙·프래그런스,1,28500,28500
PN-260801-027,2026-08-01,토,14:39,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260801-027,2026-08-01,토,14:39,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260801-028,2026-08-01,토,12:34,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260801-028,2026-08-01,토,12:34,PN-103,Fog cup blue S,글라스웨어,1,28000,28000
PN-260801-029,2026-08-01,토,12:39,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260801-030,2026-08-01,토,17:56,PN-104,sol candle,리빙·프래그런스,2,23000,46000
PN-260801-030,2026-08-01,토,17:56,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260801-031,2026-08-01,토,16:32,PN-104,sol candle,리빙·프래그런스,1,23000,23000
PN-260801-032,2026-08-01,토,17:53,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260801-033,2026-08-01,토,12:56,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260801-034,2026-08-01,토,17:46,PN-102,sol room-spray,리빙·프래그런스,1,28500,28500
PN-260801-034,2026-08-01,토,17:46,PN-104,sol candle,리빙·프래그런스,1,23000,23000
PN-260801-035,2026-08-01,토,16:24,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260801-036,2026-08-01,토,15:21,PN-103,Fog cup blue S,글라스웨어,2,28000,56000
PN-260801-036,2026-08-01,토,15:21,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260801-037,2026-08-01,토,16:15,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260801-038,2026-08-01,토,13:30,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260801-039,2026-08-01,토,16:05,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260801-040,2026-08-01,토,15:56,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260801-041,2026-08-01,토,13:04,PN-104,sol candle,리빙·프래그런스,1,23000,23000
PN-260801-042,2026-08-01,토,18:31,PN-108,Bubble mini glass,글라스웨어,1,15000,15000
PN-260801-043,2026-08-01,토,14:43,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260801-044,2026-08-01,토,15:14,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260801-045,2026-08-01,토,17:44,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260801-046,2026-08-01,토,15:47,PN-104,sol candle,리빙·프래그런스,2,23000,46000
PN-260801-047,2026-08-01,토,14:43,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260801-048,2026-08-01,토,17:43,PN-102,sol room-spray,리빙·프래그런스,1,28500,28500
PN-260801-049,2026-08-01,토,13:05,PN-108,Bubble mini glass,글라스웨어,1,15000,15000
PN-260801-050,2026-08-01,토,12:44,PN-104,sol candle,리빙·프래그런스,1,23000,23000
PN-260801-051,2026-08-01,토,18:48,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260801-052,2026-08-01,토,17:55,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260801-053,2026-08-01,토,12:51,PN-103,Fog cup blue S,글라스웨어,1,28000,28000
PN-260801-053,2026-08-01,토,12:51,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260801-054,2026-08-01,토,12:00,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260801-055,2026-08-01,토,17:28,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260801-056,2026-08-01,토,16:59,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260801-057,2026-08-01,토,13:45,PN-102,sol room-spray,리빙·프래그런스,1,28500,28500
