조사일,브랜드,제품명,타입,사이즈,조사채널,판매가,리뷰수,평점,노출순위
2026-06-05,슬로우베드,딥플로우 컴포트 매트리스 Q,매트리스,Q,네이버쇼핑,612800,1842,4.4,27
2026-06-05,슬로우베드,이브닝 리버서블 매트리스 Q,매트리스,Q,네이버쇼핑,418000,2610,4.6,14
2026-06-05,슬로우베드,미드나잇 풀문 매트리스 Q,매트리스,Q,네이버쇼핑,928000,411,4.5,30
2026-06-05,슬로우베드,더 뉴 맥시멈 토퍼 매트리스 Q,토퍼,Q,네이버쇼핑,549000,1236,4.5,16
2026-06-05,슬로우베드,올라운드 밸런스 토퍼 매트리스 5cm Q,토퍼,Q,네이버쇼핑,303400,3980,4.6,39
2026-06-05,에이스침대,CA (Club Ace) 원매트리스 Q,매트리스,Q,네이버쇼핑,493000,2170,4.4,8
2026-06-05,에이스침대,CA2 (Club Ace2) 원매트리스 Q,매트리스,Q,네이버쇼핑,659400,1490,4.4,3
2026-06-05,에이스침대,CA3 (Club Ace3) 원매트리스 Q,매트리스,Q,네이버쇼핑,839000,980,4.5,8
2026-06-05,에이스침대,HT-L (HYBRID TECH LIME) 원매트리스 Q,매트리스,Q,네이버쇼핑,1212800,640,4.7,20
2026-06-05,시몬스,뷰티레스트 스위트 매트리스 Q,매트리스,Q,네이버쇼핑,1111500,1320,4.6,19
2026-06-05,시몬스,뷰티레스트 시트러스 매트리스 Q,매트리스,Q,네이버쇼핑,1215500,2050,4.7,35
2026-06-05,시몬스,뷰티레스트 허벌 매트리스 Q,매트리스,Q,네이버쇼핑,1339000,870,4.6,19
2026-06-05,시몬스,N32 레귤러 토퍼 매트리스 Q,토퍼,Q,네이버쇼핑,622900,1610,4.5,11
2026-06-05,지누스,키스톤 스프링 매트리스 Q,매트리스,Q,네이버쇼핑,435600,5240,4.2,19
2026-06-05,지누스,얼티마 럭스 S 하이브리드 매트리스 Q,매트리스,Q,네이버쇼핑,310400,4110,4.2,40
2026-06-05,지누스,그린티 에어 하이브리드 스프링 매트리스 Q,매트리스,Q,네이버쇼핑,225000,9870,4.2,3
2026-06-05,지누스,그린티 4단 메모리폼 토퍼 매트리스 Q,토퍼,Q,네이버쇼핑,150700,12430,4.1,21
2026-06-05,지누스,베이직 메모리폼 토퍼 매트리스 Q (10cm),토퍼,Q,네이버쇼핑,129900,8620,4.1,24
2026-07-03,슬로우베드,딥플로우 컴포트 매트리스 Q,매트리스,Q,네이버쇼핑,606700,1952,4.4,20
2026-07-03,슬로우베드,이브닝 리버서블 매트리스 Q,매트리스,Q,네이버쇼핑,413800,2766,4.6,9
2026-07-03,슬로우베드,미드나잇 풀문 매트리스 Q,매트리스,Q,네이버쇼핑,918700,435,4.5,17
2026-07-03,슬로우베드,더 뉴 맥시멈 토퍼 매트리스 Q,토퍼,Q,네이버쇼핑,543500,1310,4.6,40
2026-07-03,슬로우베드,올라운드 밸런스 토퍼 매트리스 5cm Q,토퍼,Q,네이버쇼핑,300400,4218,4.7,33
2026-07-03,에이스침대,CA (Club Ace) 원매트리스 Q,매트리스,Q,네이버쇼핑,488100,2300,4.4,12
2026-07-03,에이스침대,CA2 (Club Ace2) 원매트리스 Q,매트리스,Q,네이버쇼핑,652800,1579,4.5,28
2026-07-03,에이스침대,CA3 (Club Ace3) 원매트리스 Q,매트리스,Q,네이버쇼핑,830600,1038,4.5,23
2026-07-03,에이스침대,HT-L (HYBRID TECH LIME) 원매트리스 Q,매트리스,Q,네이버쇼핑,1200700,678,4.6,25
2026-07-03,시몬스,뷰티레스트 스위트 매트리스 Q,매트리스,Q,네이버쇼핑,1100400,1399,4.6,21
2026-07-03,시몬스,뷰티레스트 시트러스 매트리스 Q,매트리스,Q,네이버쇼핑,1203300,2173,4.7,25
2026-07-03,시몬스,뷰티레스트 허벌 매트리스 Q,매트리스,Q,네이버쇼핑,1325600,922,4.6,3
2026-07-03,시몬스,N32 레귤러 토퍼 매트리스 Q,토퍼,Q,네이버쇼핑,616600,1706,4.5,15
2026-07-03,지누스,키스톤 스프링 매트리스 Q,매트리스,Q,네이버쇼핑,431300,5554,4.3,16
2026-07-03,지누스,얼티마 럭스 S 하이브리드 매트리스 Q,매트리스,Q,네이버쇼핑,307200,4356,4.3,39
2026-07-03,지누스,그린티 에어 하이브리드 스프링 매트리스 Q,매트리스,Q,네이버쇼핑,222700,10462,4.2,39
2026-07-03,지누스,그린티 4단 메모리폼 토퍼 매트리스 Q,토퍼,Q,네이버쇼핑,149200,13175,4.1,33
2026-07-03,지누스,베이직 메모리폼 토퍼 매트리스 Q (10cm),토퍼,Q,네이버쇼핑,128600,9137,4.0,29
2026-08-07,슬로우베드,딥플로우 컴포트 매트리스 Q,매트리스,Q,네이버쇼핑,600500,2063,4.4,18
2026-08-07,슬로우베드,이브닝 리버서블 매트리스 Q,매트리스,Q,네이버쇼핑,409600,2923,4.6,40
2026-08-07,슬로우베드,미드나잇 풀문 매트리스 Q,매트리스,Q,네이버쇼핑,909400,460,4.5,15
2026-08-07,슬로우베드,더 뉴 맥시멈 토퍼 매트리스 Q,토퍼,Q,네이버쇼핑,538000,1384,4.5,9
2026-08-07,슬로우베드,올라운드 밸런스 토퍼 매트리스 5cm Q,토퍼,Q,네이버쇼핑,297300,4457,4.6,18
2026-08-07,에이스침대,CA (Club Ace) 원매트리스 Q,매트리스,Q,네이버쇼핑,463400,2430,4.4,14
2026-08-07,에이스침대,CA2 (Club Ace2) 원매트리스 Q,매트리스,Q,네이버쇼핑,619800,1668,4.6,7
2026-08-07,에이스침대,CA3 (Club Ace3) 원매트리스 Q,매트리스,Q,네이버쇼핑,788700,1097,4.5,36
2026-08-07,에이스침대,HT-L (HYBRID TECH LIME) 원매트리스 Q,매트리스,Q,네이버쇼핑,1140000,716,4.5,10
2026-08-07,시몬스,뷰티레스트 스위트 매트리스 Q,매트리스,Q,네이버쇼핑,1089300,1478,4.6,30
2026-08-07,시몬스,뷰티레스트 시트러스 매트리스 Q,매트리스,Q,네이버쇼핑,1191200,2296,4.7,36
2026-08-07,시몬스,뷰티레스트 허벌 매트리스 Q,매트리스,Q,네이버쇼핑,1312200,974,4.6,12
2026-08-07,시몬스,N32 레귤러 토퍼 매트리스 Q,토퍼,Q,네이버쇼핑,610400,1803,4.5,4
2026-08-07,지누스,키스톤 스프링 매트리스 Q,매트리스,Q,네이버쇼핑,374600,5868,4.3,10
2026-08-07,지누스,얼티마 럭스 S 하이브리드 매트리스 Q,매트리스,Q,네이버쇼핑,266900,4603,4.2,5
2026-08-07,지누스,그린티 에어 하이브리드 스프링 매트리스 Q,매트리스,Q,네이버쇼핑,193500,11054,4.2,40
2026-08-07,지누스,그린티 4단 메모리폼 토퍼 매트리스 Q,토퍼,Q,네이버쇼핑,129600,13921,4.1,21
2026-08-07,지누스,베이직 메모리폼 토퍼 매트리스 Q (10cm),토퍼,Q,네이버쇼핑,111700,9654,4.0,35
2026-08-28,슬로우베드,딥플로우 컴포트 매트리스 Q,매트리스,Q,네이버쇼핑,600500,2173,4.5,34
2026-08-28,슬로우베드,이브닝 리버서블 매트리스 Q,매트리스,Q,네이버쇼핑,409600,3079,4.6,8
2026-08-28,슬로우베드,미드나잇 풀문 매트리스 Q,매트리스,Q,네이버쇼핑,909400,484,4.5,28
2026-08-28,슬로우베드,더 뉴 맥시멈 토퍼 매트리스 Q,토퍼,Q,네이버쇼핑,538000,1458,4.5,11
2026-08-28,슬로우베드,올라운드 밸런스 토퍼 매트리스 5cm Q,토퍼,Q,네이버쇼핑,297300,4696,4.5,2
2026-08-28,에이스침대,CA (Club Ace) 원매트리스 Q,매트리스,Q,네이버쇼핑,463400,2560,4.4,27
2026-08-28,에이스침대,CA2 (Club Ace2) 원매트리스 Q,매트리스,Q,네이버쇼핑,619800,1758,4.5,40
2026-08-28,에이스침대,CA3 (Club Ace3) 원매트리스 Q,매트리스,Q,네이버쇼핑,788700,1156,4.5,6
2026-08-28,에이스침대,HT-L (HYBRID TECH LIME) 원매트리스 Q,매트리스,Q,네이버쇼핑,1140000,755,4.6,25
2026-08-28,시몬스,뷰티레스트 스위트 매트리스 Q,매트리스,Q,네이버쇼핑,1078200,1557,4.6,8
2026-08-28,시몬스,뷰티레스트 시트러스 매트리스 Q,매트리스,Q,네이버쇼핑,1179000,2419,4.7,7
2026-08-28,시몬스,뷰티레스트 허벌 매트리스 Q,매트리스,Q,네이버쇼핑,1298800,1026,4.6,1
2026-08-28,시몬스,N32 레귤러 토퍼 매트리스 Q,토퍼,Q,네이버쇼핑,604200,1899,4.5,36
2026-08-28,지누스,키스톤 스프링 매트리스 Q,매트리스,Q,네이버쇼핑,374600,6183,4.3,23
2026-08-28,지누스,얼티마 럭스 S 하이브리드 매트리스 Q,매트리스,Q,네이버쇼핑,266900,4849,4.2,2
2026-08-28,지누스,그린티 에어 하이브리드 스프링 매트리스 Q,매트리스,Q,네이버쇼핑,193500,11646,4.2,1
2026-08-28,지누스,그린티 4단 메모리폼 토퍼 매트리스 Q,토퍼,Q,네이버쇼핑,129600,14667,4.1,38
2026-08-28,지누스,베이직 메모리폼 토퍼 매트리스 Q (10cm),토퍼,Q,네이버쇼핑,111700,10171,3.9,26
