리뷰ID,작성일,채널,상품코드,상품명,사이즈,평점,리뷰유형,부정키워드,리뷰내용
RV00001,2026-06-01,네이버 브랜드스토어,SB-M-DFC-Q,딥플로우 컴포트 매트리스,Q,5,포토리뷰,,쿠폰까지 받아서 잘 샀어요
RV00002,2026-06-01,네이버 브랜드스토어,SB-T-ARB7-SS,올라운드 밸런스 토퍼 매트리스 7cm,SS,4,포토리뷰,,배송이랑 설치 다 깔끔했어요
RV00003,2026-06-01,자사몰,SB-F-BAU-G,바우 키즈 원목 가드형 데이베드 침대,SS,5,일반리뷰,,통기성 좋아서 여름에도 안 덥네요
RV00004,2026-06-01,네이버 브랜드스토어,SB-M-DFC-Q,딥플로우 컴포트 매트리스,Q,4,일반리뷰,,설치기사님 친절하셨습니다
RV00005,2026-06-01,네이버 브랜드스토어,SB-M-DFC-Q,딥플로우 컴포트 매트리스,Q,5,일반리뷰,,통기성 좋아서 여름에도 안 덥네요
RV00006,2026-06-01,오늘의집,SB-T-ARB5-Q,올라운드 밸런스 토퍼 매트리스 5cm,Q,3,일반리뷰,설치,설치기사님이 시간 안 지키셨어요
RV00007,2026-06-02,자사몰,SB-M-DFC-Q,딥플로우 컴포트 매트리스,Q,4,포토리뷰,,쿠폰까지 받아서 잘 샀어요
RV00008,2026-06-02,네이버 브랜드스토어,SB-T-NMX-SS,더 뉴 맥시멈 토퍼 매트리스,SS,1,일반리뷰,설치,설치 후 정리를 안 해주고 가셨습니다
RV00009,2026-06-02,네이버 브랜드스토어,SB-F-BAU-G,바우 키즈 원목 가드형 데이베드 침대,SS,3,포토리뷰,설치,설치 후 정리를 안 해주고 가셨습니다
RV00010,2026-06-02,네이버 브랜드스토어,SB-T-ARB7-Q,올라운드 밸런스 토퍼 매트리스 7cm,Q,5,일반리뷰,,포장 뜯을 때 냄새 거의 없었어요
RV00011,2026-06-02,네이버 브랜드스토어,SB-M-DFC-Q,딥플로우 컴포트 매트리스,Q,1,포토리뷰,설치,설치기사님이 시간 안 지키셨어요
RV00012,2026-06-02,쿠팡 로켓,SB-T-ARCP-Q,올라운드 컴포트 플러스 토퍼 매트리스,Q,5,포토리뷰,,생각보다 두툼하고 좋아요
RV00013,2026-06-02,쿠팡 로켓,SB-T-ARC-Q,올라운드 컴포트 토퍼 매트리스,Q,2,일반리뷰,설치,설치기사님이 시간 안 지키셨어요
RV00014,2026-06-03,오늘의집,SB-M-MFM-Q,미드나잇 풀문 매트리스,Q,5,일반리뷰,,토퍼만 바꿨는데 확실히 다르네요
RV00015,2026-06-03,자사몰,SB-T-ARB7-Q,올라운드 밸런스 토퍼 매트리스 7cm,Q,5,포토리뷰,,배송이랑 설치 다 깔끔했어요
RV00016,2026-06-03,네이버 브랜드스토어,SB-P-CLB,클라우드 버디 베개,단일,5,일반리뷰,,통기성 좋아서 여름에도 안 덥네요
RV00017,2026-06-03,쿠팡 로켓,SB-T-ARB5-Q,올라운드 밸런스 토퍼 매트리스 5cm,Q,5,일반리뷰,,토퍼만 바꿨는데 확실히 다르네요
RV00018,2026-06-03,네이버 브랜드스토어,SB-M-DFC-Q,딥플로우 컴포트 매트리스,Q,1,일반리뷰,설치,설치기사님이 시간 안 지키셨어요
RV00019,2026-06-03,쿠팡 로켓,SB-P-CLB,클라우드 버디 베개,단일,5,일반리뷰,,가격 대비 만족도 높습니다
RV00020,2026-06-03,쿠팡 로켓,SB-M-DFC-Q,딥플로우 컴포트 매트리스,Q,4,포토리뷰,,통기성 좋아서 여름에도 안 덥네요
RV00021,2026-06-03,네이버 브랜드스토어,SB-M-EVS-Q,이브닝 스타릿 매트리스,Q,5,일반리뷰,,배송이랑 설치 다 깔끔했어요
RV00022,2026-06-03,네이버 브랜드스토어,SB-MO-EVM-Q,이브닝 모션 매트리스,Q,5,일반리뷰,,매장에서 누워보고 샀는데 그대로예요
RV00023,2026-06-04,쿠팡 로켓,SB-M-EVR-S,이브닝 리버서블 매트리스,S,5,포토리뷰,,가격 대비 만족도 높습니다
RV00024,2026-06-04,오늘의집,SB-P-CLL,클라우드 LOW 경추 베개,단일,4,일반리뷰,,통기성 좋아서 여름에도 안 덥네요
RV00025,2026-06-04,오늘의집,SB-A-DPM,딥뮤트 수면안대,단일,5,일반리뷰,,아이 방에 놨는데 만족합니다
RV00026,2026-06-04,쿠팡 로켓,SB-M-MFM-K,미드나잇 풀문 매트리스,K,2,일반리뷰,커버,커버 지퍼가 뻑뻑합니다
RV00027,2026-06-04,네이버 브랜드스토어,SB-M-DFB-Q,딥플로우 밸런스 매트리스,Q,5,일반리뷰,,포장 뜯을 때 냄새 거의 없었어요
RV00028,2026-06-04,네이버 브랜드스토어,SB-T-NMX-Q,더 뉴 맥시멈 토퍼 매트리스,Q,5,일반리뷰,,남편도 저도 잘 자요
RV00029,2026-06-04,네이버 브랜드스토어,SB-P-CLB,클라우드 버디 베개,단일,5,일반리뷰,,아이 방에 놨는데 만족합니다
RV00030,2026-06-04,네이버 브랜드스토어,SB-A-DPM,딥뮤트 수면안대,단일,5,일반리뷰,,허리가 안 아파요 진짜 잘 삽니다
RV00031,2026-06-05,자사몰,SB-T-ARB5-SS,올라운드 밸런스 토퍼 매트리스 5cm,SS,2,일반리뷰,커버,커버 지퍼가 뻑뻑합니다
RV00032,2026-06-05,쿠팡 로켓,SB-T-ARB5-Q,올라운드 밸런스 토퍼 매트리스 5cm,Q,5,일반리뷰,,배송이랑 설치 다 깔끔했어요
RV00033,2026-06-05,네이버 브랜드스토어,SB-T-ARB5-SS,올라운드 밸런스 토퍼 매트리스 5cm,SS,4,일반리뷰,,토퍼만 바꿨는데 확실히 다르네요
RV00034,2026-06-05,네이버 브랜드스토어,SB-M-MFM-Q,미드나잇 풀문 매트리스,Q,5,일반리뷰,,라이브 보고 샀는데 후회 없어요
RV00035,2026-06-05,네이버 브랜드스토어,SB-M-EVR-SS,이브닝 리버서블 매트리스,SS,5,일반리뷰,,매장에서 누워보고 샀는데 그대로예요
RV00036,2026-06-05,오늘의집,SB-M-DFC-Q,딥플로우 컴포트 매트리스,Q,4,포토리뷰,,허리가 안 아파요 진짜 잘 삽니다
RV00037,2026-06-05,네이버 브랜드스토어,SB-F-BAU-G,바우 키즈 원목 가드형 데이베드 침대,SS,5,일반리뷰,,매장에서 누워보고 샀는데 그대로예요
RV00038,2026-06-05,쿠팡 로켓,SB-P-CLL,클라우드 LOW 경추 베개,단일,5,일반리뷰,,남편도 저도 잘 자요
RV00039,2026-06-06,쿠팡 로켓,SB-MO-EVM-SS,이브닝 모션 매트리스,SS,5,일반리뷰,,가격 대비 만족도 높습니다
RV00040,2026-06-06,오늘의집,SB-T-NMX-Q,더 뉴 맥시멈 토퍼 매트리스,Q,5,일반리뷰,,아이 방에 놨는데 만족합니다
RV00041,2026-06-06,오늘의집,SB-F-BAU-O,바우 키즈 원목 오픈형 데이베드 침대,SS,5,일반리뷰,,배송이랑 설치 다 깔끔했어요
RV00042,2026-06-06,네이버 브랜드스토어,SB-M-DFC-Q,딥플로우 컴포트 매트리스,Q,5,포토리뷰,,남편도 저도 잘 자요
RV00043,2026-06-06,오늘의집,SB-T-MAX-Q,맥시멈 토퍼 매트리스,Q,3,일반리뷰,냄새,개봉하고 나서 화학약품 냄새가 심했습니다
RV00044,2026-06-06,네이버 브랜드스토어,SB-A-DPM,딥뮤트 수면안대,단일,1,일반리뷰,커버,커버 지퍼가 뻑뻑합니다
RV00045,2026-06-06,자사몰,SB-M-DFC-Q,딥플로우 컴포트 매트리스,Q,5,일반리뷰,,토퍼만 바꿨는데 확실히 다르네요
RV00046,2026-06-06,쿠팡 로켓,SB-M-DFB-Q,딥플로우 밸런스 매트리스,Q,5,일반리뷰,,가격 대비 만족도 높습니다
RV00047,2026-06-06,네이버 브랜드스토어,SB-T-ARC-SS,올라운드 컴포트 토퍼 매트리스,SS,4,일반리뷰,,매장에서 누워보고 샀는데 그대로예요
RV00048,2026-06-06,네이버 브랜드스토어,SB-T-ARB5-Q,올라운드 밸런스 토퍼 매트리스 5cm,Q,5,포토리뷰,,아이 방에 놨는데 만족합니다
RV00049,2026-06-07,네이버 브랜드스토어,SB-M-DFC-Q,딥플로우 컴포트 매트리스,Q,5,포토리뷰,,포장 뜯을 때 냄새 거의 없었어요
RV00050,2026-06-07,쿠팡 로켓,SB-T-ARCP-Q,올라운드 컴포트 플러스 토퍼 매트리스,Q,3,포토리뷰,꺼짐,두 달 만에 가운데가 꺼졌어요
RV00051,2026-06-07,네이버 브랜드스토어,SB-P-CLL,클라우드 LOW 경추 베개,단일,5,포토리뷰,,생각보다 두툼하고 좋아요
RV00052,2026-06-07,네이버 브랜드스토어,SB-M-DFC-SS,딥플로우 컴포트 매트리스,SS,4,포토리뷰,,생각보다 두툼하고 좋아요
RV00053,2026-06-07,자사몰,SB-M-EVS-Q,이브닝 스타릿 매트리스,Q,5,일반리뷰,,가격 대비 만족도 높습니다
RV00054,2026-06-07,네이버 브랜드스토어,SB-M-EVR-Q,이브닝 리버서블 매트리스,Q,5,일반리뷰,,통기성 좋아서 여름에도 안 덥네요
RV00055,2026-06-07,오늘의집,SB-T-ARC-Q,올라운드 컴포트 토퍼 매트리스,Q,3,일반리뷰,배송지연,설치 날짜 잡는 데 계속 밀렸습니다
RV00056,2026-06-07,쿠팡 로켓,SB-P-CLL,클라우드 LOW 경추 베개,단일,4,일반리뷰,,설치기사님 친절하셨습니다
RV00057,2026-06-08,오늘의집,SB-T-NMX-Q,더 뉴 맥시멈 토퍼 매트리스,Q,5,일반리뷰,,포장 뜯을 때 냄새 거의 없었어요
RV00058,2026-06-08,네이버 브랜드스토어,SB-M-EVR-S,이브닝 리버서블 매트리스,S,4,일반리뷰,,배송이랑 설치 다 깔끔했어요
RV00059,2026-06-08,쿠팡 로켓,SB-P-CLB,클라우드 버디 베개,단일,5,일반리뷰,,허리가 안 아파요 진짜 잘 삽니다
RV00060,2026-06-08,네이버 브랜드스토어,SB-M-EVR-SS,이브닝 리버서블 매트리스,SS,5,포토리뷰,,가격 대비 만족도 높습니다
RV00061,2026-06-08,네이버 브랜드스토어,SB-M-DFC-SS,딥플로우 컴포트 매트리스,SS,5,일반리뷰,,쿠폰까지 받아서 잘 샀어요
RV00062,2026-06-08,쿠팡 로켓,SB-M-DFB-SS,딥플로우 밸런스 매트리스,SS,5,포토리뷰,,통기성 좋아서 여름에도 안 덥네요
RV00063,2026-06-08,쿠팡 로켓,SB-M-MFM-Q,미드나잇 풀문 매트리스,Q,5,일반리뷰,,토퍼만 바꿨는데 확실히 다르네요
RV00064,2026-06-08,네이버 브랜드스토어,SB-T-GRB-SS,그라운드 밸런스 토퍼 매트리스,SS,5,일반리뷰,,배송이랑 설치 다 깔끔했어요
RV00065,2026-06-08,오늘의집,SB-P-CLL,클라우드 LOW 경추 베개,단일,4,일반리뷰,,통기성 좋아서 여름에도 안 덥네요
RV00066,2026-06-08,오늘의집,SB-P-CLL,클라우드 LOW 경추 베개,단일,5,일반리뷰,,가격 대비 만족도 높습니다
RV00067,2026-06-09,오늘의집,SB-T-ARB5-SS,올라운드 밸런스 토퍼 매트리스 5cm,SS,1,일반리뷰,설치,설치기사님이 시간 안 지키셨어요
RV00068,2026-06-09,쿠팡 로켓,SB-M-EVS-K,이브닝 스타릿 매트리스,K,5,일반리뷰,,토퍼만 바꿨는데 확실히 다르네요
RV00069,2026-06-09,네이버 브랜드스토어,SB-M-DFB-Q,딥플로우 밸런스 매트리스,Q,2,일반리뷰,꺼짐,누운 자리가 눌린 채로 안 돌아옵니다
RV00070,2026-06-09,자사몰,SB-T-ARC-Q,올라운드 컴포트 토퍼 매트리스,Q,2,일반리뷰,냄새,새 제품 냄새가 며칠 갔어요
RV00071,2026-06-09,오늘의집,SB-M-DFC-SS,딥플로우 컴포트 매트리스,SS,4,포토리뷰,,쿠폰까지 받아서 잘 샀어요
RV00072,2026-06-09,네이버 브랜드스토어,SB-M-EVS-Q,이브닝 스타릿 매트리스,Q,4,일반리뷰,,쿠폰까지 받아서 잘 샀어요
RV00073,2026-06-09,네이버 브랜드스토어,SB-T-NMX-SS,더 뉴 맥시멈 토퍼 매트리스,SS,5,포토리뷰,,가격 대비 만족도 높습니다
RV00074,2026-06-09,네이버 브랜드스토어,SB-T-NMX-Q,더 뉴 맥시멈 토퍼 매트리스,Q,4,포토리뷰,,배송이랑 설치 다 깔끔했어요
RV00075,2026-06-09,네이버 브랜드스토어,SB-M-EVR-Q,이브닝 리버서블 매트리스,Q,3,일반리뷰,단단함,미디엄이라고 했는데 하드에 가깝습니다
RV00076,2026-06-09,쿠팡 로켓,SB-M-DFC-Q,딥플로우 컴포트 매트리스,Q,4,포토리뷰,,쿠폰까지 받아서 잘 샀어요
RV00077,2026-06-09,네이버 브랜드스토어,SB-T-ARB5-SS,올라운드 밸런스 토퍼 매트리스 5cm,SS,4,일반리뷰,,설치기사님 친절하셨습니다
RV00078,2026-06-10,쿠팡 로켓,SB-T-ARC-SS,올라운드 컴포트 토퍼 매트리스,SS,5,일반리뷰,,매장에서 누워보고 샀는데 그대로예요
RV00079,2026-06-10,네이버 브랜드스토어,SB-MO-EVM-Q,이브닝 모션 매트리스,Q,5,일반리뷰,,남편도 저도 잘 자요
RV00080,2026-06-10,쿠팡 로켓,SB-A-DPM,딥뮤트 수면안대,단일,5,일반리뷰,,라이브 보고 샀는데 후회 없어요
RV00081,2026-06-10,네이버 브랜드스토어,SB-M-EVR-SS,이브닝 리버서블 매트리스,SS,5,일반리뷰,,토퍼만 바꿨는데 확실히 다르네요
RV00082,2026-06-10,네이버 브랜드스토어,SB-T-ARC-Q,올라운드 컴포트 토퍼 매트리스,Q,4,일반리뷰,,가격 대비 만족도 높습니다
RV00083,2026-06-10,쿠팡 로켓,SB-T-MAX-SS,맥시멈 토퍼 매트리스,SS,1,일반리뷰,배송지연,배송이 예정일보다 일주일 늦었어요
RV00084,2026-06-10,네이버 브랜드스토어,SB-T-ARB7-Q,올라운드 밸런스 토퍼 매트리스 7cm,Q,4,일반리뷰,,토퍼만 바꿨는데 확실히 다르네요
RV00085,2026-06-10,오늘의집,SB-T-ARC-SS,올라운드 컴포트 토퍼 매트리스,SS,5,포토리뷰,,매장에서 누워보고 샀는데 그대로예요
RV00086,2026-06-10,네이버 브랜드스토어,SB-M-DFC-SS,딥플로우 컴포트 매트리스,SS,5,일반리뷰,,쿠폰까지 받아서 잘 샀어요
RV00087,2026-06-10,오늘의집,SB-T-GRB-SS,그라운드 밸런스 토퍼 매트리스,SS,4,포토리뷰,,설치기사님 친절하셨습니다
RV00088,2026-06-11,네이버 브랜드스토어,SB-P-CLB,클라우드 버디 베개,단일,5,포토리뷰,,생각보다 두툼하고 좋아요
RV00089,2026-06-11,네이버 브랜드스토어,SB-T-ARC-SS,올라운드 컴포트 토퍼 매트리스,SS,5,일반리뷰,,아이 방에 놨는데 만족합니다
RV00090,2026-06-11,쿠팡 로켓,SB-M-DFC-Q,딥플로우 컴포트 매트리스,Q,5,포토리뷰,,허리가 안 아파요 진짜 잘 삽니다
RV00091,2026-06-11,네이버 브랜드스토어,SB-P-CLL,클라우드 LOW 경추 베개,단일,3,일반리뷰,꺼짐,두 달 만에 가운데가 꺼졌어요
RV00092,2026-06-11,쿠팡 로켓,SB-P-CLL,클라우드 LOW 경추 베개,단일,4,일반리뷰,,설치기사님 친절하셨습니다
