상품코드,상품명,시리즈,카테고리,타입,사이즈,정가,자사몰판매가,매입원가,물류단가,출시일,운영등급
SB-M-TWS-K,트와일라잇 선셋 매트리스,트와일라잇,매트리스,포켓스프링,K,6400000,4610000,1844000,90000,2024-03-11,B
SB-M-TWS-KK,트와일라잇 선셋 매트리스,트와일라잇,매트리스,포켓스프링,KK,6850000,4930000,1972000,95000,2024-03-11,C
SB-M-MFM-Q,미드나잇 풀문 매트리스,미드나잇,매트리스,포켓스프링,Q,1290000,928000,361900,70000,2025-02-18,A
SB-M-MFM-K,미드나잇 풀문 매트리스,미드나잇,매트리스,포켓스프링,K,1420000,1022000,398600,75000,2025-02-18,B
SB-M-DFC-SS,딥플로우 컴포트 매트리스,딥플로우,매트리스,레코텍폼,SS,810000,585000,222300,65000,2024-09-02,A
SB-M-DFC-Q,딥플로우 컴포트 매트리스,딥플로우,매트리스,레코텍폼,Q,850000,612800,232900,68000,2024-09-02,S
SB-M-DFB-SS,딥플로우 밸런스 매트리스,딥플로우,매트리스,레코텍폼,SS,710000,514000,190200,65000,2024-09-02,B
SB-M-DFB-Q,딥플로우 밸런스 매트리스,딥플로우,매트리스,레코텍폼,Q,750000,538400,199200,68000,2024-09-02,B
SB-M-EVR-S,이브닝 리버서블 매트리스,이브닝,매트리스,양면구조,S,500000,359900,129600,60000,2025-11-04,B
SB-M-EVR-SS,이브닝 리버서블 매트리스,이브닝,매트리스,양면구조,SS,545000,392000,141100,65000,2025-11-04,A
SB-M-EVR-Q,이브닝 리버서블 매트리스,이브닝,매트리스,양면구조,Q,580000,418000,150500,68000,2025-11-04,S
SB-M-EVS-Q,이브닝 스타릿 매트리스,이브닝,매트리스,포켓스프링,Q,980000,706000,275300,68000,2026-04-21,A
SB-M-EVS-K,이브닝 스타릿 매트리스,이브닝,매트리스,포켓스프링,K,1080000,778000,303400,75000,2026-04-21,B
SB-M-ORG-SS,오리지널 매트리스 미디엄 소프트,오리지널,매트리스,메모리폼,SS,620000,446000,182900,65000,2022-05-16,C
SB-M-ORG-Q,오리지널 매트리스 미디엄 소프트,오리지널,매트리스,메모리폼,Q,660000,475000,194800,68000,2022-05-16,C
SB-MO-EVM-SS,이브닝 모션 매트리스,이브닝,모션매트리스,모션일체형,SS,1490000,1072000,471700,120000,2026-08-06,S
SB-MO-EVM-Q,이브닝 모션 매트리스,이브닝,모션매트리스,모션일체형,Q,1620000,1166000,513000,125000,2026-08-06,S
SB-MO-MBL-SS,모션 밸런스드 매트리스,모션,모션매트리스,독립스프링,SS,1980000,1425000,598500,130000,2023-10-12,B
SB-MO-MBL-Q,모션 밸런스드 매트리스,모션,모션매트리스,독립스프링,Q,2150000,1548000,650200,135000,2023-10-12,B
SB-T-NMX-SS,더 뉴 맥시멈 토퍼 매트리스,맥시멈,토퍼,메모리폼10cm,SS,590000,459000,197400,14000,2026-01-15,A
SB-T-NMX-Q,더 뉴 맥시멈 토퍼 매트리스,맥시멈,토퍼,메모리폼10cm,Q,700000,549000,236100,16000,2026-01-15,S
SB-T-MAX-SS,맥시멈 토퍼 매트리스,맥시멈,토퍼,메모리폼10cm,SS,590000,459000,206600,14000,2023-04-03,C
SB-T-MAX-Q,맥시멈 토퍼 매트리스,맥시멈,토퍼,메모리폼10cm,Q,700000,549000,247000,16000,2023-04-03,C
SB-T-ARB5-SS,올라운드 밸런스 토퍼 매트리스 5cm,올라운드,토퍼,레코텍폼5cm,SS,326000,254200,104200,9000,2025-03-10,A
SB-T-ARB5-Q,올라운드 밸런스 토퍼 매트리스 5cm,올라운드,토퍼,레코텍폼5cm,Q,389000,303400,124400,11000,2025-03-10,S
SB-T-ARB7-SS,올라운드 밸런스 토퍼 매트리스 7cm,올라운드,토퍼,레코텍폼7cm,SS,330000,257620,105600,9000,2025-03-10,B
SB-T-ARB7-Q,올라운드 밸런스 토퍼 매트리스 7cm,올라운드,토퍼,레코텍폼7cm,Q,392000,305990,125500,11000,2025-03-10,A
SB-T-ARC-SS,올라운드 컴포트 토퍼 매트리스,올라운드,토퍼,메모리폼5cm,SS,280000,218400,87400,9000,2024-06-25,B
SB-T-ARC-Q,올라운드 컴포트 토퍼 매트리스,올라운드,토퍼,메모리폼5cm,Q,330000,257400,103000,11000,2024-06-25,A
SB-T-ARCP-Q,올라운드 컴포트 플러스 토퍼 매트리스,올라운드,토퍼,메모리폼7cm,Q,378000,294800,117900,11000,2024-06-25,B
SB-T-GRB-SS,그라운드 밸런스 토퍼 매트리스,그라운드,토퍼,라텍스,SS,670000,522000,240100,12000,2023-08-08,C
SB-P-CLL,클라우드 LOW 경추 베개,클라우드,베개,경추,단일,65000,55250,16600,3000,2024-11-19,A
SB-P-CLB,클라우드 버디 베개,클라우드,베개,저반발,단일,79000,63200,19000,3000,2025-09-30,A
SB-A-DPM,딥뮤트 수면안대,딥뮤트,악세서리,수면안대,단일,39000,31200,8700,2500,2026-02-24,B
SB-F-AMD-K,아몬드 무헤드형 침대,아몬드,프레임,무헤드,K,1160000,930000,437100,110000,2024-02-06,B
SB-F-AMD-KK,아몬드 무헤드형 침대,아몬드,프레임,무헤드,KK,1220000,980000,460600,115000,2024-02-06,C
SB-F-BAU-G,바우 키즈 원목 가드형 데이베드 침대,바우,프레임,가드형,SS,999000,799000,383500,100000,2025-05-13,B
SB-F-BAU-O,바우 키즈 원목 오픈형 데이베드 침대,바우,프레임,오픈형,SS,749000,599000,287500,100000,2025-05-13,C
