주문번호,주문일,주문시간,채널,매장,상품코드,상품명,사이즈,수량,정상가합계,할인액,실결제금액,주문상태,배송유형,배송지역,고객유형,프로모션코드
ST-260601-0001,2026-06-01,10:21,직영매장,대전둔산,SB-M-EVR-Q,이브닝 리버서블 매트리스,Q,1,438900,0,438900,배송완료,설치(용인 설치1),경기,재구매,
ST-260601-0001,2026-06-01,10:21,직영매장,대전둔산,SB-A-DPM,딥뮤트 수면안대,단일,1,32800,0,32800,배송완료,매장수령,경기,재구매,
CP-260601-0001,2026-06-01,13:58,쿠팡 로켓,,SB-T-ARB5-SS,올라운드 밸런스 토퍼 매트리스 5cm,SS,1,241500,0,241500,배송완료,택배(안성1),대전,재구매,
CJ-260601-0001,2026-06-01,12:44,CJ온스타일,,SB-T-ARB7-SS,올라운드 밸런스 토퍼 매트리스 7cm,SS,2,494600,0,494600,설치완료,택배(안성1),서울,재구매,
CJ-260601-0001,2026-06-01,12:44,CJ온스타일,,SB-T-ARC-Q,올라운드 컴포트 토퍼 매트리스,Q,1,247100,0,247100,설치완료,택배(안성1),서울,재구매,
NV-260601-0001,2026-06-01,15:48,네이버 브랜드스토어,,SB-M-DFC-Q,딥플로우 컴포트 매트리스,Q,1,594400,0,594400,배송완료,설치(용인 설치1),경기,재구매,
CP-260601-0002,2026-06-01,22:30,쿠팡 로켓,,SB-T-ARB7-Q,올라운드 밸런스 토퍼 매트리스 7cm,Q,1,290700,0,290700,반품완료,택배(안성1),대전,재구매,
CP-260601-0002,2026-06-01,22:30,쿠팡 로켓,,SB-M-MFM-Q,미드나잇 풀문 매트리스,Q,1,881600,0,881600,반품완료,설치(용인 설치1),대전,재구매,
CP-260601-0002,2026-06-01,22:30,쿠팡 로켓,,SB-M-EVR-Q,이브닝 리버서블 매트리스,Q,1,397100,0,397100,반품완료,설치(용인 설치1),대전,재구매,
CJ-260601-0002,2026-06-01,21:43,CJ온스타일,,SB-M-ORG-SS,오리지널 매트리스 미디엄 소프트,SS,1,428200,0,428200,취소,설치(용인 설치1),대구,신규,
OH-260601-0001,2026-06-01,11:31,오늘의집,,SB-M-DFC-Q,딥플로우 컴포트 매트리스,Q,1,569900,0,569900,배송완료,설치(용인 설치1),인천,재구매,
OH-260601-0001,2026-06-01,11:31,오늘의집,,SB-M-MFM-Q,미드나잇 풀문 매트리스,Q,1,863000,0,863000,배송완료,설치(용인 설치1),인천,재구매,
OH-260601-0001,2026-06-01,11:31,오늘의집,,SB-T-NMX-Q,더 뉴 맥시멈 토퍼 매트리스,Q,1,510600,0,510600,배송완료,택배(안성1),인천,재구매,
HM-260601-0001,2026-06-01,13:28,자사몰,,SB-T-ARB5-Q,올라운드 밸런스 토퍼 매트리스 5cm,Q,1,303400,0,303400,취소,택배(안성1),인천,신규,
OH-260601-0002,2026-06-01,00:21,오늘의집,,SB-M-ORG-Q,오리지널 매트리스 미디엄 소프트,Q,1,441800,0,441800,교환완료,설치(용인 설치1),서울,신규,
SG-260601-0001,2026-06-01,10:43,SSG닷컴,,SB-T-ARB7-SS,올라운드 밸런스 토퍼 매트리스 7cm,SS,1,252500,0,252500,설치완료,택배(안성1),서울,재구매,
CJ-260601-0003,2026-06-01,06:29,CJ온스타일,,SB-T-ARB5-Q,올라운드 밸런스 토퍼 매트리스 5cm,Q,1,291300,0,291300,배송완료,택배(안성1),서울,신규,
CP-260601-0003,2026-06-01,09:51,쿠팡 로켓,,SB-T-ARC-Q,올라운드 컴포트 토퍼 매트리스,Q,1,244500,63900,180600,설치완료,택배(안성1),서울,신규,EX-2026-01
CP-260601-0004,2026-06-01,04:56,쿠팡 로켓,,SB-T-ARB5-SS,올라운드 밸런스 토퍼 매트리스 5cm,SS,1,241500,0,241500,배송중,택배(안성1),경남,신규,
CP-260602-0001,2026-06-02,18:50,쿠팡 로켓,,SB-T-ARB5-Q,올라운드 밸런스 토퍼 매트리스 5cm,Q,1,288200,0,288200,반품완료,택배(안성1),서울,신규,
SG-260602-0001,2026-06-02,09:20,SSG닷컴,,SB-T-ARC-Q,올라운드 컴포트 토퍼 매트리스,Q,2,504600,0,504600,설치완료,택배(안성1),서울,신규,
ST-260602-0001,2026-06-02,16:59,직영매장,대전둔산,SB-T-ARB5-Q,올라운드 밸런스 토퍼 매트리스 5cm,Q,1,318600,0,318600,배송완료,설치(용인 설치1),제주,신규,
NV-260602-0001,2026-06-02,19:07,네이버 브랜드스토어,,SB-T-ARB7-SS,올라운드 밸런스 토퍼 매트리스 7cm,SS,1,249900,0,249900,설치완료,택배(안성1),부산,신규,
